School,Athletic Dept,Football Team,Men’s Basketball Team,Football Hashtag,Basketball Hashtag,Alternate Hashtag
High Point,@HighPointSports,,@HPUMBB,,#HighPoint,
Hofstra,@HofstraPride,,@HofstraMBB,,#Hofstra,
Holy Cross,@GoHolyCross,@HCrossFB,@HCrossMBB,#HolyCross,#HolyCross,
Houston,@UHCougars,@UHCougarFB,@UHCougarMBK,#GoCoogs,#GoCoogs,
Houston Baptist,@HBUHuskies,@HBU_Football,@HBUBasketball,#HoustonBaptist,#HoustonBaptist,
Howard,@HUBisonSports,@HUBisonFootball,@HUMensBB,#Howard,#Howard,
Idaho,@Idaho_Vandals,@VandalFootball,@VandalHoops,#Vandals,#Vandals,
Idaho State,@ISUBengals,@IdahoStateFB,@IdahoStateBBall,#IdahoState,#IdahoState,
Illinois,@IlliniAthletics,@IlliniFootball,@IlliniMBB,#Illini,#Illini,
Illinois State,@ISURedbirds,@RedbirdFB,@Redbird_MBB,#IllinoisState,#IllinoisState,
Illinois-Chicago,@UICFlames,,@UICFlamesMBB,#UIC,#UIC,
Incarnate Word,@UIWAthletics,@UIWFootball,@UIWMBB,#UIW,#UIW,
Indiana,@IUHoosiers,@IndianaFootball,@IndianaMBB,#IUFB,#IUBB,
Indiana State,@indstathletics,@IndianaStateFB,@IndStMBB,#IndianaState,#IndianaState,
Iona,@ICGaels,,@IonaGaelsMBB,,#Iona,
Iowa,@TheIowaHawkeyes,@HawkeyeFootball,@IowaHoops,#Hawkeyes,#Hawkeyes,
Iowa State,@CycloneATH,@CycloneFB,@CycloneMBB,#IowaState,#IowaState,
IUPUI,@IUPUIJaguars,,@IUPUIMensBBall,,#IUPUI,
Jackson State,@GoJSUTigers,@GoJSUTigersFB,@GoJSUTigersMBB,#JacksonState,#JacksonState,
Jacksonville,@JAX_Dolphins,@JAX_FB,@JAX_MBB,#JUDolphins,#JUDolphins,
Jacksonville State,@JSUGamecocks,@JSUGamecocksFB,@JSU_MBB,#JSUGamecocks,#JSUGamecocks,
James Madison,@JMUSports,@JMUFootball,@JMUMBasketball,#JMU,#JMU,
Kansas,@KUAthletics,@KU_Football,@KUHoops,#KUFball,#KUBball,#RockChalk
Kansas State,@KStateSports,@KStateFB,@KStateMBB,#KState,#KState,
Kennesaw State,@KSUOwlNation,@KennesawStFB,@KSUOwlsMBB,#KennesawState,#KennesawState,
Kent State,@KentStAthletics,@KentStFootball,@KentStMBB,#KentState,#KentState,
Kentucky,@UKAthleticsNews,@UKFootball,@KentuckyMBB,#BBN,#BBN,
La Salle,@GoExplorers,,@LaSalleMBB,,#LaSalle,
Lafayette,@GoLeopards,@LafColFootball,@LafayetteMBB,#LafayetteLeopards,#LafayetteLeopards,
Lamar,@LamarCards,@LamarFootball,@LamarMBB,#Lamar,#Lamar,
Lehigh,@LehighSports,@LehighFootball,@LehighMBB,#Lehigh,#Lehigh,
Liberty,@LibertyFlames,@LibertyFootball,@LibertyMBB,#GoFlames,#GoFlames,
Lipscomb,@LipscombBisons,,@LipscombMBB,,#Lipscomb,
Little Rock,@LRTrojans,,@LittleRockMBB,,#UALR,
Long Beach State,@LBSUAthletics,,@LBSUhoops,,#LBSU,
Long Island,@LIUAthletics,@LIUSharksFB,@LIUBasketball,#LIUFB,#LIUBB,#LIUSharks
Longwood,@LongwoodLancers,,@LongwoodMBB,,#Longwood,
Louisiana,@RaginCajuns,@RaginCajunsFB,@RaginCajunsMBB,#RaginCajuns,#RaginCajuns,
Louisiana Tech,@LATechSports,@LATechFB,@LATechHoops,#LATech,#LATech,
Louisiana-Monroe,@ULMWarhawks,@ULM_FB,@ULM_MBB,#Warhawks,#Warhawks,
Louisville,@GoCards,@UofLFootball,@LouisvilleMBB,#GoCards,#GoCards,
Loyola Marymount,@LMULions,,@LMULionsMBB,,#LMU,
Loyola-Chicago,@LoyolaRamblers,,@RamblersMBB,,#LoyolaChicago,
Loyola-Maryland,@LoyolaHounds,,@LoyolaMBB,,#GoHounds,
LSU,@LSUsports,@LSUFootball,@LSUBasketball,#GeauxTigers,#GeauxTigers,#LSU
Maine,@BlackBearNation,@BlackBearsFB,@BlackBearsMBB,#BlackBears,#BlackBears,
Manhattan,@GoJaspers,,@JaspersMBB,,#Jaspers,
Marist,@MaristAthletics,@Marist_Football,@MaristMBB,#Marist,#Marist,
Marquette,@MUAthletics,,@MarquetteMBB,,#MUBB,#Marquette
Marshall,@HerdZone,@HerdFB,@HerdMBB,#HerdNation,#HerdNation,#WeAreMarshall
Maryland,@UMTerps,@TerpsFootball,@TerrapinHoops,#Terps,#Terps,
Maryland-Eastern Shore,@ESHawksSports,@ESHawksSports,@ESHawksHoops,#UMES,#UMES,
Massachusetts,@UMassAthletics,@UMassFootball,@UMassBasketball,#UMass,#UMass,
McNeese State,@McNeeseSports,@McNeeseFootball,@McNeeseMBB,#McNeese,#McNeese,
Memphis,@TigersAthletics,@MemphisFB,@Memphis_MBB,#GoTigersGo,#GoTigersGo,
Mercer,@MercerBears,@MercerFootball,@MercerMBB,#Mercer,#Mercer,
