School,Athletic Dept,Football Team,Men’s Basketball Team,Football Hashtag,Basketball Hashtag,Alternate Hashtag
Providence,@PCAthletics,,@PCFriarsMBB,,#PCBB,#GoFriars
Purdue,@PurdueSports,@BoilerFootball,@BoilerBall,#BoilerUp,#BoilerUp,#Purdue
Purdue Fort Wayne,@GoMastodons,,@MastodonMBB,,#Mastodons,
Quinnipiac,@QUAthletics,,@QU_MBB,,#Quinnipiac,
Radford,@RU_Athletics,,@RadfordMBB,,#Radford,
Rhode Island,@GoRhodyRams,@RhodyFootball,@RhodyMBB,#URI,#URI,
Rice,@RiceAthletics,@RiceFootball,@RiceBasketball,#Rice,#Rice,
Richmond,@SpiderAthletics,@SpiderFootball,@SpiderMBB,#Spiders,#Spiders,
Rider,@RiderAthletics,,@RiderMBB,,#Rider,
Robert Morris,@RMUAthletics,@RMUFootball,@RMUMBasketball,#RMU,#RMU,
Rutgers,@RUAthletics,@Rfootball,@RutgersMBB,#Rutgers,#Rutgers,
Sacramento State,@HornetSports,@SacHornetsFB,@SacHornetsMBB,#SacState,#SacState,
Sacred Heart,@SHUBigRed,@SHU__Football,@SHU_MensHoops,#SacredHeart,#SacredHeart,
Saint Joseph’s,@SJUHawks,,@SJUHawks_MBB,,#StJoes,
Saint Louis,@SLU_Billikens,,@SaintLouisMBB,,#Billikens,
Saint Mary’s,@SMCGaels,,@SaintMarysHoops,,#Gaels,
Saint Peter’s,@SPUAthletics,,@PeacocksMBB,,#Peacocks,
Sam Houston State,@BearkatSports,@BearkatsFB,@BearkatsMBB,#Bearkats,#Bearkats,
Samford,@Samford_Sports,@SamfordFootball,@SamfordMBB,#Samford,#Samford,
San Diego,@USDToreros,@USDFootball,@USDMBB,#USD,#USD,
San Diego State,@GoAztecs,@SDSUFootball,@Aztec_MBB,#Aztecs,#Aztecs,
San Francisco,@DonsAthletics,,@USFDonsMBB,,#USFDons,
San Jose State,@SJSUAthletics,@SJSUSpartanFB,@SJSUMBB,#SJSU,#SJSU,
Santa Clara,@SCUBroncos,,@SantaClaraHoops,,#SantaClara,
Seattle,@GoSeattleU,,@SeattleUMBB,,#SeattleU,
Seton Hall,@SHUAthletics,,@SetonHallMBB,,#SetonHall,
Siena,@SienaSaints,,@SienaMBB,,#Siena,
SIU-Edwardsville,@SIUECougars,,@SIUEMBB,,#SIUE,
SMU,@SMUMustangs,@SMU_Football,@SMUBasketball,#SMU,#SMU,
South Alabama,@WeAreSouth_JAGS,@WeAreSouth_FB,@WeAreSouth_MBB,#SouthAlabama,#SouthAlabama,
